SAMPLE	Baetis	Chironominae	Cinygma	Despaxia	Isoperla	Lara	Lepidostoma	Leptophlebiidae	Limnophila	Malenka	Micrasema	Oligochaeta	Optioservus	Orthocladiinae	Simulium	Sphaeriidae	Sweltsa	Tanypodinae	Trombidiformes	Zapada	Ampumixis	Arctopsyche	Calineuria	Dicranota	Drunella_coloradensis/flavilinea	Drunella_doddsi	Epeorus	Glossosoma	Glutops	Gomphidae	Hesperoperla	Heterlimnius	Hydropsyche	Ironodes	Juga	Maruina	Nematoda	Neophylax	Ordobrevia	Paraperla	Rhithrogena	Rhyacophila	Serratella	Wormaldia	Yoraperla	Zaitzevia	Ameletus	Capniidae	Caudatella	Chelifera	Cinygmula	Diamesinae	Dixa	Ecclisocosmoecus	Ephemerella	Hesperoconopa	Nemoura	Neothremma	Parapsyche	Pericoma/Telmatoscopus	Setvena	Turbellaria	Antocha	Apatania	Clinocera	Diphetor_hageni	Helicopsychidae	Kogotus	Narpus	Suwallia	Ceratopogoninae	Oreogeton	Prosimulium	Visoka	Agapetus	Attenella	Acentrella	Cryptolabis	Fluminicola	Hexatoma	Nixe/Leucocruta	Pteronarcys	Doroneuria	Pteronarcella	Cleptelmis	Drunella_spinifera	Megarcys	Amiocentrus	Forcipomyiinae	Goeridae	Timpanoga_hecuba	Anagapetus	Dolophilodes	Skwala	Kathroperla	Meringodixa	Soliperla	Soyedina	Thaumaleidae	Amphizoa	Cryptochia	Dicosmoecus	Dytiscidae	Hydraenidae	Moselia	Sialis	Drunella_grandis	Ecclisomyia	Prodiamesinae	Pristinicola	Psychoglypha	Rhabdomastix	Centroptilum	Cheumatopsyche	Hydroptila	Tricorythodes	Eubrianax	Atherix	Asellidae	Cordulegaster	Cultus	Molophilus	Muscidae	Odontoceridae	Tipula	Chimarra	Claassenia	Coenagrionidae	Leptoceridae	Lymnaeidae	Microcylloepus	Planorbidae	Psephenus	Pyralidae	Ephydridae	Onocosmoecus	Perlinodes	Physidae	Brachycentrus	Metrichia_sp.	Ferrissia	Caloparyphus	Protoptila	Blephariceridae	Ochrotrichia	Oligophlebodes	Enochrus	Pedicia	Ptychopteridae	Heptagenia	Margaritifera	Tabanidae	Dixella	Wiedemannia	Psychomyia	Hemerodromia	Agraylea	Gammarus	Helichus	Hyalella_azteca	Diura	Prostoia	Taeniopterygidae	Podonominae	Prostoma	Gumaga	Corydalidae	Pedomoecus	Helophorus	Haliplidae	Neotrichia	Branchiobdellida	Stenonema	Hydatophylax	Heteroplectron	Polycentropodidae	Deuterophlebiidae	Callibaetis	Dubiraphia	Corixidae	Labiobaetis	Hydrochus	Stactobiella	Hirudinea	Odontomyia	Tropisternus	Hydrobius	Psychoda	Dolichopodidae	Nemotelus	Desmona	Chyranda_centralis	Euparyphus	Limonia	Asioplax	Fallceon_quilleri	Laccobius	Atractelmis_wawona	Leucotrichia	Acneus	Isonychia	Plumiperla	Ametor	Crenitis	Pilaria	Sierraperla	Valvata	Cymbiodyta	Anacaena	Caenis	Staphylinidae	Gyrinus	Sperchopsis	Podmosta	Palaegapetus	Libellulidae	Pseudostenophylax	Allocosmoecus	Procloeon	Philocasca	Drunella_pelosa	Himalopsyche	Eocosmoecus	Trichoclinocera
00001CSR	10	74	3	1	2	11	3	7	3	9	1	39	1	15	2	76	29	5	1	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
00001REM	65	22	0	1	0	0	0	3	0	7	5	6	3	15	2	0	0	0	1	0	5	6	1	2	1	5	34	8	1	1	5	3	2	1	1	1	4	1	1	1	51	17	4	6	1	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
00001WSE	0	4	1	0	0	0	0	8	0	0	0	9	0	29	0	0	9	0	10	34	0	0	0	1	2	2	1	0	1	0	0	0	0	2	0	0	10	0	0	0	8	47	0	0	33	0	7	1	15	2	21	4	6	2	19	1	1	1	2	1	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
00002CSR	65	15	0	0	0	0	0	2	0	3	0	2	0	9	2	0	6	1	7	0	0	0	0	0	0	6	58	5	0	0	5	6	0	0	0	0	0	3	0	0	1	23	17	8	0	13	2	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	2	2	1	5	4	1	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
00002JDE	3	16	0	0	7	0	4	0	0	0	0	7	0	158	0	0	3	8	16	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	4	0	0	3	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	13	0	0	3	0	0	0	0	0	2	1	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
00002REM	82	17	0	0	0	0	0	0	0	0	1	0	1	7	49	0	0	2	1	1	1	0	6	1	0	28	9	10	0	1	6	2	2	0	0	0	3	0	0	0	37	12	6	3	0	2	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
00002WSE	42	6	0	0	0	0	0	0	0	1	0	7	11	3	100	0	0	0	5	1	0	0	4	0	0	3	18	15	0	0	0	0	0	0	1	0	10	2	0	0	0	7	6	0	0	16	0	0	0	5	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	8	0	1	1	17	1	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
00003CSR	1	12	33	1	3	0	2	21	0	53	4	0	3	4	0	0	9	0	3	0	0	26	17	0	0	0	1	13	0	0	0	1	0	9	6	0	0	1	0	0	0	14	0	0	3	8	0	0	0	1	5	0	0	0	0	0	0	0	8	0	0	0	0	22	0	2	0	0	0	0	0	0	0	1	8	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
00003JDE	4	23	0	0	0	0	0	3	0	1	15	0	0	190	5	4	6	0	8	1	0	0	0	0	0	0	0	0	0	0	1	8	0	1	0	0	3	0	0	0	0	1	2	1	12	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
00003REM	31	3	0	0	0	0	0	0	0	3	2	11	0	23	0	0	0	0	0	1	0	0	3	0	11	13	32	2	0	0	0	6	0	6	0	0	0	2	0	0	28	31	1	0	9	1	4	0	0	0	0	0	0	0	0	0	0	0	15	0	0	1	0	0	0	13	0	0	0	0	0	0	0	8	0	5	0	0	0	1	0	2	4	0	0	1	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
