Sample	Mdl704	RA_20grp	RA_11grp	RA_6grp	PA_20grp	PA_11grp	PA_6grp	DAYNUM	X_coord	Y_coord	WA_hect	WA_ha_lg	M_Slope	M_Slp_sqt	Mareco	Wcrdeco	Bsnrgeco	Eco1	Eco3	Eco4	Eco9	Eco10	Eco11	Eco12	Eco78	Pcp_ann	Tmx_ann	Wetdays	Loolith	Maflith	Litho1	Litho2	Litho4	Litho5	Litho6	Litho7	Litho8	Elev_m	El_m_sqt	Strm_pwr	Strpw_lg
00001WSE	C	1	1	1	1	1	1	234	-122.20504	43.55441	914.2641004	2.961071667	15.9	3.987480407	0	1	0	0	0	1	0	0	0	0	0	1654	129	159	1	0	0	1	0	0	0	0	0	1382	37.17526059	480.7651269	2.681932958
00008REM	C	1	1	1	1	1	1	235	-122.15291	44.01723	1398.714743	3.145729152	8.1	2.846049894	0	1	0	0	0	1	0	0	0	0	0	1841	145	162	0	0	1	0	0	0	0	0	0	752	27.4226184	302.9350991	2.481349595
00008WSE	C	3	3	1	3	3	1	228	-121.2588	42.94294	630.1337504	2.799432741	3.5	1.870828693	0	1	0	0	0	0	1	0	0	0	0	997	118	110	0	1	0	0	0	0	0	1	0	1914	43.74928571	87.85862759	1.943784415
00009WSE	C	4	4	4	4	4	4	215	-117.09055	45.88876	3429.390005	3.535216878	3.9	1.974841766	0	0	1	0	0	0	0	1	0	0	0	477	120	103	0	1	0	0	0	0	0	1	0	1034	32.15587038	228.3878761	2.358673046
00010REM	C	5	5	5	5	5	5	236	-122.1951	44.04191	8026.355673	3.904518401	6.8	2.607680962	0	1	0	0	0	1	0	0	0	0	0	1820	153	162	0	0	1	0	0	0	0	0	0	603	24.55605832	609.2115284	2.784768113
00011REM	C	4	4	4	6	3	1	235	-122.05389	44.93045	1975.424704	3.295660481	5.9	2.42899156	0	1	0	0	0	1	0	0	0	0	0	2051	132	170	1	0	0	0	0	0	1	0	0	762	27.60434748	262.2299258	2.418682252
00013CSR	C	7	5	5	7	7	7	180	-124.07942	42.75539	3926.280883	3.593981365	2	1.414213562	1	0	0	1	0	0	0	0	0	0	0	1903	176	148	0	0	0	0	1	0	0	0	0	257	16.03121954	125.3200843	2.098020678
00017REM	C	8	4	4	8	8	4	236	-122.67695	43.8291	502.4775952	2.701116702	12.2	3.492849839	0	1	0	0	0	1	0	0	0	0	0	1405	164	156	0	0	1	0	0	0	0	0	0	393	19.8242276	273.4753467	2.436918182
00019CSR	C	5	5	5	9	4	4	187	-123.19297	45.79846	2256.599047	3.3534544	0.7	0.836660027	1	0	0	1	0	0	0	0	0	0	0	1526	150	164	0	0	0	0	1	0	0	0	0	208	14.4222051	33.25257182	1.52182524
00020CSR	C	10	10	10	7	7	7	188	-123.55835	45.30022	1750.803327	3.243237363	2.3	1.516575089	1	0	0	1	0	0	0	0	0	0	0	2543	151	186	0	0	0	0	1	0	0	0	0	346	18.60107524	96.23798418	1.983346518
